Nome,Squadra,Trend Stagionale,Ratio Gol/Pres,Presenze,Buon Investimento,Resistenza Infortuni,Infortunato,Trend,Skill Value,Punteggio Base,Nuovo Acquisto,Punteggio,Livello di confidenza
CANDÈ FALI,Sassuolo,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.7,60,True,52.0,0.5
PEDERSEN MARCUS,Torino,0.0,0.0,0.7,0.4,0.6,False,-1,0.7,60,False,59.05,0.5
BARBIERI TOMMASO,Cremonese,0.0,0.11,0.7,0.4,0.6,False,0.5,0.55,60,False,61.64,0.5
IDRISSI RIYAD,Cagliari,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,0.1,60,True,55.55,0.5
OBERT ADAM,Cagliari,0.0,0.0,0.7,0.4,0.8,False,1,0.1,59,False,59.53,0.5
BALOGH BOTOND,Parma,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.2,59,False,53.69,0.5
PAZ YEFERSON,Sassuolo,0.0,0.0,0.36666666666666664,0.4,0.8,False,0.5,-0.65,59,False,53.36,0.5
GOGLICHIDZE SABA,Udinese,0.0,0.0,0.36666666666666664,0.2,0.6,False,0.5,-0.4,59,True,51.14,0.5
BARTESAGHI DAVIDE,Milan,0.0,0.0,0.36666666666666664,0.4,0.8,False,0.5,-0.4,59,False,54.47,0.5
HOLM EMIL,Bologna,-0.0,0.11,0.7,0.4,0.6,True,-1,0.05,59,False,53.39,0.75
BELGHALI RAFIK,Verona,0.0,0.11,0.7,0.4,0.8,False,0.5,0.1,59,True,60.78,0.5
NORTON-CUFFY BROOKE,Genoa,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,0.1,59,False,55.03,0.5
VAN DER BREMPT IGNACE,Como,0.0,0.0,0.36666666666666664,0.4,0.4,False,0.5,0.0,59,False,52.92,0.5
VALLE ALEX,Como,0.0,0.22,0.36666666666666664,0.4,0.6,False,0.5,0.1,58,False,58.0,0.5
ZEMURA JORDAN,Udinese,0.0,0.0,0.7,0.4,0.6,False,1,-0.4,58,False,55.11,0.5
DEMBELÉ ALI,Torino,0.0,0.0,0.7,0.6,0.6,False,0.5,-0.4,58,False,56.28,0.5
PATRIC PATRICIO GABARRON,Lazio,0.2,0.0,0.36666666666666664,0.4,0.6,True,-1,0.1,58,False,49.59,0.75
KRISTENSEN THOMAS,Udinese,0.0,0.0,0.36666666666666664,0.4,0.4,False,-1,-0.4,57,False,48.59,0.5
FORTINI NICCOLO',Fiorentina,0.0,0.0,0.36666666666666664,0.6,0.6,False,0.5,-0.35,57,True,53.64,0.5
MARIANUCCI LUCA,Napoli,0.0,0.0,0.36666666666666664,0.6,0.6,False,0.5,-0.2,57,True,54.31,0.5
RUGANI DANIELE,Juventus,0.5,0.0,0.0,0.4,0.8,False,0.5,-0.2,57,False,53.21,0.75
GIGOT SAMUEL,Lazio,0.0,0.0,0.7,0.6,0.4,False,0.5,0.0,57,False,55.86,0.5
GONZALEZ FACUNDO,Juventus,0.0,0.0,0.0,0.4,0.4,False,0.5,-0.7,56,False,45.66,0.5
MULLEN SENAN,Torino,0.0,0.0,0.0,0.6,0.6,False,0.5,-0.4,56,True,50.33,0.5
ODENTHAL CAS,Sassuolo,0.0,0.0,0.7,0.4,0.8,False,0.5,0.0,56,True,57.0,0.5
MOREIRA PACHECO FELLIPE JACK,Como,0.0,0.0,0.36666666666666664,0.2,0.6,False,0.5,-0.4,56,False,49.56,0.5
