Nome,Squadra,Trend Stagionale,Ratio Gol/Pres,Presenze,Buon Investimento,Resistenza Infortuni,Infortunato,Trend,Skill Value,Punteggio Base,Nuovo Acquisto,Punteggio,Livello di confidenza
COULIBALY LASSANA,Salernitana,0.5,0.0,1.0,0.4,0.6,False,1,0.3,71,False,68.34,0.75
DUNCAN ALFRED,Fiorentina,0.2,0.0,0.36666666666666664,0.4,0.4,False,-1,0.2,70,False,58.76,1.0
ROVELLA NICOLO,Monza,0.3,0.0,0.7,0.4,0.6,False,1,0.35,70,False,65.58,1.0
VILHENA TONNY,Salernitana,0.0,0.17,0.7,0.4,0.6,False,0.5,0.1,70,False,66.61,0.5
MORO NIKOLA,Bologna,0.0,0.0,0.36666666666666664,0.4,0.4,False,0.5,0.1,70,False,59.48,0.5
TAMEZE ADRIEN,Verona,-0.2,0.0,0.7,0.4,0.8,False,-1,-0.2,70,False,62.01,1.0
FAGIOLI NICOLÒ,Juventus,0.0,0.0,0.36666666666666664,0.4,0.6,True,0.5,0.0,69,False,56.2,0.5
BLIN ALEXIS,Lecce,0.0,0.0,0.0,0.6,0.8,False,0.5,-0.4,69,False,59.26,0.5
SAMARDZIC LAZAR,Udinese,-0.2,0.17,0.7,0.4,0.6,False,-1,0.75,69,False,67.0,0.75
MARIN RAZVAN,Empoli,-0.1,0.0,0.7,0.4,0.6,True,1,0.1,69,False,59.28,1.0
POBEGA TOMMASO,Milan,-0.6,0.06,0.7,0.4,0.6,False,-1,-0.45,68,False,58.63,1.0
VECINO MATIAS,Lazio,-1.3,0.06,0.7,0.4,0.6,False,-1,0.3,68,False,60.57,1.0
HENDERSON LIAM,Empoli,-0.5,0.0,0.36666666666666664,0.4,0.8,False,-1,-0.4,67,False,56.73,0.75
ILING JUNIOR SAMUEL,Juventus,0.0,0.0,0.0,0.2,0.4,False,0.5,0.0,67,False,53.26,0.5
HJULMAND MORTEN,Lecce,0.0,0.0,0.0,0.4,0.6,True,0.5,0.1,66,False,52.49,0.5
BANDINELLI FILIPPO,Empoli,0.0,0.17,0.7,0.4,0.6,False,1,0.3,66,False,65.88,0.75
CATALDI DANILO,Lazio,0.3,0.0,0.7,0.4,0.6,True,-1,0.3,65,False,56.76,1.0
BOVE EDOARDO,Roma,-1.8,0.0,0.0,0.2,0.6,False,-1,-0.4,65,False,47.46,0.75
AEBISCHER MICHEL,Bologna,0.1,0.0,0.36666666666666664,0.6,0.4,False,1,-0.5,65,False,56.66,0.75
GONZALEZ JOAN,Lecce,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,0.1,64,False,58.02,0.5
COLPANI ANDREA,Monza,0.0,0.17,0.7,0.4,0.6,False,0.5,0.35,64,False,64.55,0.5
GAGLIARDINI ROBERTO,Monza,-1.0,0.0,0.36666666666666664,0.4,0.6,False,-1,-0.5,64,True,52.18,1.0
LOFTUS-CHEEK RUBEN,Milan,0.0,0.0,0.0,0.6,0.6,False,0.5,0.3,64,True,57.97,0.5
BASIC TOMA,Lazio,0.3,0.06,0.7,0.4,0.8,False,1,-0.45,64,False,61.82,0.75
GALDAMES PABLO,Genoa,0.5,0.0,0.36666666666666664,0.4,0.8,False,1,-0.7,64,True,57.67,0.75
PAREDES LEANDRO,Juventus,0.0,0.0,0.7,0.2,0.2,False,0.5,0.75,64,False,58.12,0.5
MIRETTI FABIO,Juventus,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.4,63,False,55.37,0.5
