Nome,Punteggio,Fantamedia anno 2022-2023,Fantamedia anno 2021-2022,Fantamedia anno 2020-2021,Presenze 2022-2023,Fanta Media 2022-2023,FM su tot gare 2022-2023,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
UDOGIE DESTINY,60,6.41,6.52,5.90,32,6.41,5.40,21/30,0/3,0/3,DIF,"['Outsider', 'Titolare', 'Goleador', 'Giovane talento']",40,60,False,False,False,Udinese,DOWN,32
SAMBIA JUNIOR,60,5.92,nd,nd,13,5.92,2.03,11/20,0/2,0/3,DIF,['Panchinaro'],40,60,False,False,False,Salernitana,STABLE,13
KJAER SIMON,60,5.82,5.90,6.25,14,5.82,2.14,11/20,0/3,0/2,DIF,"['Titolare', 'Buona Media']",60,60,False,False,False,Milan,DOWN,14
MARCHIZZA RICCARDO,60,6.00,5.47,5.84,5,6.00,0.79,21/30,0/2,0/3,DIF,['Panchinaro'],40,40,False,True,False,Frosinone,UP,5
ERLIC MARTIN,60,5.59,6.09,6.14,27,5.59,3.97,21/30,0/2,0/1,DIF,"['Titolare', 'Buona Media', 'Goleador']",40,60,False,False,False,Sassuolo,DOWN,27
LYKOGIANNIS CHARALAMPOS,59,6.21,5.78,6.10,19,6.21,3.11,21/30,3/5,0/3,DIF,"['Titolare', 'Assistman', 'Piazzati']",60,60,False,False,False,Bologna,UP,19
PALOMINO JOSE' LUIS,59,5.75,6.08,6.05,14,5.75,2.12,11/20,0/3,0/3,DIF,"['Titolare', 'Buona Media']",40,60,False,False,True,Atalanta,DOWN,14
PEZZELLA GIUSEPPE,59,5.71,6.00,6.19,14,5.71,2.10,11/20,0/1,0/3,DIF,['Panchinaro'],40,60,False,False,False,Lecce,DOWN,14
PATRIC PATRICIO GABARRON,59,6.09,5.76,5.59,17,6.09,2.72,11/20,0/1,0/1,DIF,['Titolare'],40,60,False,False,False,Lazio,UP,17
FLORENZI ALESSANDRO,58,5.75,6.45,nd,4,5.75,0.61,11/20,0/3,0/3,DIF,"['Panchinaro', 'Buona Media']",60,40,False,False,False,Milan,DOWN,4
UMTITI SAMUEL,58,5.81,nd,nd,24,5.81,3.67,21/30,0/2,0/2,DIF,"['Outsider', 'Titolare']",60,20,False,False,False,Lecce,STABLE,24
DANILIUC FLAVIUS,58,5.52,nd,nd,27,5.52,3.92,21/30,0/1,0/1,DIF,['Titolare'],40,60,False,False,False,Salernitana,STABLE,27
KYRIAKOPOULOS GEORGIOS,58,6.21,5.92,5.86,21,6.21,3.43,11/20,0/1,0/2,DIF,['Titolare'],40,60,False,True,True,Bologna,UP,21
EHIZIBUE KINGLSLEY,58,5.93,nd,nd,21,5.93,3.28,11/20,0/2,3/5,DIF,"['Outsider', 'Panchinaro', 'Assistman']",60,60,False,False,True,Udinese,STABLE,21
ISMAJLI ARDIAN,57,5.86,5.03,5.94,25,5.86,3.86,21/30,0/1,0/1,DIF,"['Titolare', 'Buona Media']",40,60,False,False,False,Empoli,UP,25
GYOMBER NORBERT,57,5.93,5.57,nd,23,5.93,3.59,21/30,0/2,0/2,DIF,['Titolare'],40,60,False,False,False,Salernitana,UP,23
MASINA ADAM,57,6.36,nd,nd,11,6.36,1.84,0/10,0/3,0/3,DIF,"['Panchinaro', 'Falloso']",40,60,True,False,False,Udinese,STABLE,11
RUGANI DANIELE,57,6.00,5.88,6.04,7,6.00,1.11,11/20,0/2,0/2,DIF,"['Panchinaro', 'Buona Media']",40,60,False,False,False,Juventus,UP,7
PIROLA LORENZO,57,5.94,nd,nd,25,5.94,3.91,11/20,0/1,0/1,DIF,['Panchinaro'],40,80,False,False,False,Salernitana,STABLE,25
SOUMAORO ADAMA,57,5.89,5.57,5.88,23,5.89,3.57,21/30,0/2,0/1,DIF,"['Titolare', 'Falloso']",40,80,False,False,False,Bologna,UP,23
NDICKA EVAN,57,nd,nd,nd,0,0.00,0.00,21/30,0/3,0/2,DIF,"['Titolare', 'Buona Media', 'Falloso']",60,60,False,True,False,Roma,STABLE,0
BIRASCHI DAVIDE,56,nd,5.46,5.69,0,0.00,0.00,11/20,0/3,0/2,DIF,['Panchinaro'],20,60,False,True,False,Genoa,STABLE,0
RUGGERI MATTEO,56,5.80,5.75,5.50,10,5.80,1.53,11/20,0/3,0/3,DIF,"['Panchinaro', 'Giovane talento']",20,60,False,False,True,Atalanta,UP,10
DEMIRAL MERIH,56,5.98,6.17,6.14,22,5.98,3.46,21/30,0/3,0/1,DIF,"['Outsider', 'Panchinaro', 'Buona Media']",60,40,False,False,False,Atalanta,DOWN,22
OSTIGARD LEO,56,5.92,5.43,nd,6,5.92,0.93,11/20,0/3,0/2,DIF,"['Outsider', 'Panchinaro', 'Falloso']",40,80,False,False,False,Napoli,UP,6
WALUKIEWICZ SEBASTIAN,55,5.89,5.58,5.53,9,5.89,1.40,0/10,0/1,0/1,DIF,"['Panchinaro', 'Falloso']",40,40,False,False,False,Empoli,UP,9
TRESSOLDI RUAN,55,5.21,nd,nd,21,5.21,2.88,0/10,0,0,DIF,['Panchinaro'],40,60,False,False,False,Sassuolo,STABLE,21
CECCHERINI FEDERICO,55,5.90,5.80,5.66,20,5.90,3.11,21/30,0/2,0/1,DIF,"['Titolare', 'Falloso']",40,60,False,False,False,Verona,UP,20
MARLON SANTOS,55,5.46,nd,5.50,24,5.46,3.45,11/20,0/3,0/1,DIF,"['Titolare', 'Falloso']",40,40,False,False,False,Monza,STABLE,24
PAJAC MARKO,54,nd,nd,nd,0,0.00,0.00,11/20,0/1,0/2,DIF,['Panchinaro'],40,40,False,False,True,Genoa,STABLE,0
EBOSELE FESTY,54,6.00,nd,nd,10,6.00,1.58,0/10,0/2,0/3,DIF,"['Panchinaro', 'Giovane talento']",40,60,False,False,True,Udinese,STABLE,10
DEST SERGINO GIANNI,54,5.64,nd,nd,7,5.64,1.04,11/20,0/3,3/5,DIF,"['Panchinaro', 'Assistman', 'Falloso', 'Giovane talento']",60,60,False,False,False,Milan,STABLE,7
JESUS JUAN,54,6.25,6.07,5.75,12,6.25,1.97,11/20,0/1,0/1,DIF,['Panchinaro'],40,60,False,False,False,Napoli,UP,12
AZZI PAULO,54,nd,nd,nd,0,0.00,0.00,21/30,0/3,0/3,DIF,"['Titolare', 'Falloso']",40,60,False,False,False,Cagliari,STABLE,0
ZEMURA JORDAN,54,nd,nd,nd,0,0.00,0.00,21/30,0/2,0/3,DIF,['Titolare'],40,60,False,True,False,Udinese,STABLE,0
OKOLI CALEB,53,nd,nd,nd,0,0.00,0.00,11/20,0/1,0/1,DIF,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Atalanta,STABLE,0
DOIG JOSH,53,6.52,nd,nd,21,6.52,3.60,21/30,3/5,3/5,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Giovane talento']",40,60,False,False,True,Verona,STABLE,21
LLORENTE DIEGO,53,6.06,nd,nd,8,6.06,1.28,11/20,0/1,0/1,DIF,"['Panchinaro', 'Falloso']",40,40,False,False,True,Roma,STABLE,8
DE SCIGLIO MATTIA,53,5.76,6.31,6.00,17,5.76,2.58,21/30,0/1,0/1,DIF,['Panchinaro'],60,20,False,False,True,Juventus,DOWN,17
CACACE LIBERATO,52,5.60,5.75,nd,10,5.60,1.47,11/20,0/2,0/3,DIF,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Empoli,DOWN,10
LOVATO MATTEO,52,5.50,5.86,5.81,14,5.50,2.03,21/30,0/2,0/2,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Giovane talento']",40,60,False,False,False,Salernitana,DOWN,14
DRAGUSIN RADU,52,nd,5.67,nd,0,0.00,0.00,30+,3/5,0/1,DIF,"['Outsider', 'Titolare', 'Goleador', 'Giovane talento']",40,60,False,False,False,Genoa,STABLE,0
VITI MATTIA,52,nd,5.63,nd,0,0.00,0.00,11/20,0/1,0/1,DIF,['Panchinaro'],40,60,True,True,False,Sassuolo,STABLE,0
CECCARONI PIETRO,52,6.00,5.91,nd,2,6.00,0.32,21/30,0/2,0/2,DIF,"['Titolare', 'Goleador']",40,60,False,False,False,Lecce,UP,2
CITTADINI GIORGIO,52,nd,nd,nd,0,0.00,0.00,11/20,0/3,0/2,DIF,"['Outsider', 'Titolare', 'Giovane talento']",40,40,False,True,False,Monza,STABLE,0
KUMBULLA MARASH,51,5.10,5.58,5.84,5,5.10,0.67,0/10,0/2,0/1,DIF,"['Panchinaro', 'Buona Media']",60,80,False,False,True,Roma,DOWN,5
SABELLI STEFANO,51,nd,5.50,nd,0,0.00,0.00,21/30,0/3,3/5,DIF,"['Titolare', 'Buona Media', 'Assistman', 'Falloso']",40,60,False,False,False,Genoa,STABLE,0
GABBIA MATTEO,51,5.39,5.36,5.83,9,5.39,1.28,0/10,0/1,0/1,DIF,['Panchinaro'],20,60,False,False,False,Milan,UP,9
SZYMINSKI PRZEMYSLAW,51,nd,nd,nd,0,0.00,0.00,11/20,0/2,0/2,DIF,['Panchinaro'],40,60,False,False,False,Frosinone,STABLE,0
