,Giocatore,Miglioramento Stagionale,Gol/Presenze,Base Moltiplicativa,Base Additiva,Live Updates,Punteggio Goduria,Squadra
36,LINETTY KAROL,0.020253164556962053,0.08428571428571428,28.722260397830023,8.0,8,60.11051272545475,Torino
52,BANDINELLI FILIPPO,0.0012658227848101563,0.09857142857142856,26.389258589511755,10.0,8,58.34751644430502,Empoli
35,RICCI SAMUELE,0.020886075949367103,0.06393939393939393,27.32260836210203,8.0,8,58.09292980962756,Torino
24,JANKTO JAKUB,-0.0,0.10333333333333333,31.056666666666665,12.0,2,57.444764290125576,Cagliari
57,COLPANI ANDREA,0.0,0.09857142857142856,25.50857142857143,12.0,7,57.13955411225706,Monza
88,SENSI STEFANO,0.034810126582278486,0.06393939393939393,22.329973149213657,15.0,8,56.496101417032406,Monza
20,BARAK ANTONIN,0.00949367088607592,0.10333333333333333,32.20050632911392,21.0,-5,55.52436573239427,Fiorentina
19,LAZOVIC DARKO,0.008227848101265822,0.09857142857142856,31.73034358047016,13.0,-2,53.06201595015153,Verona
66,BALDANZI TOMMASO,0.0,0.10333333333333333,25.006666666666668,17.0,2,52.72375626157964,Empoli
60,BASIC TOMA,0.018987341772151896,0.08428571428571428,25.809475587703435,4.0,8,52.7117656652001,Lazio
10,CHIESA FEDERICO,-0.09303797468354433,0.14,29.14481012658228,13.0,0,52.411921174276216,Juventus
21,LOCATELLI MANUEL,-0.02848101265822787,0.08428571428571428,27.75276672694394,15.0,0,52.005306023147234,Juventus
41,MORO NIKOLA,0.0,0.03666666666666667,23.566666666666666,7.0,7,50.34031989420036,Bologna
30,MATIC NEMANJA,0.0,0.06393939393939393,26.20363636363636,2.0,7,50.14148252201937,Roma
40,VILHENA TONNY,0.0,0.09857142857142856,27.9,8.0,2,49.69446423335808,Salernitana
83,HAAS NICOLAS,0.003164556962025307,0.06999999999999999,21.270379746835445,8.0,8,49.36870925684485,Empoli
72,HARROUI ABDOU,0.0,0.06999999999999999,22.57,5.0,8,48.84209746542485,Frosinone
7,PASALIC MARIO,0.004430379746835463,0.1003030303030303,34.40233985423859,8.0,-5,48.29828438530896,Atalanta
56,GONZALEZ JOAN,0.0,0.03666666666666667,21.546666666666667,8.0,7,48.22851225491725,Lecce
33,LOPEZ MAXIME,-0.0006329113924051063,0.06999999999999999,26.225063291139236,13.0,0,48.20313843159516,Sassuolo
64,KONRADSEN CEIDE EMIL,0.02911392405063292,0.03666666666666667,23.044177215189872,3.0,8,47.925618672139635,Sassuolo
32,SCHOUTEN JERDY,0.018354430379746847,0.08428571428571428,28.9900904159132,16.0,-5,46.89658673173392,Bologna
70,WIJNALDUM GEORGINIO,0.0,0.09857142857142856,24.312857142857144,10.0,2,46.123637513245015,Roma
62,PAREDES LEANDRO,0.0,0.06999999999999999,23.68,11.0,2,46.01138094733099,Juventus
31,FERGUSON LEWIS,0.0,0.0,21.599999999999998,5.0,7,45.90539166453529,Bologna
55,AEBISCHER MICHEL,0.00569620253164562,0.03666666666666667,22.253586497890296,1.0,8,45.18599090472418,Bologna
67,ZARRAGA OIER,0.0,0.06999999999999999,22.94,8.0,2,42.54467913888075,Udinese
81,JAGIELLO FILIP,0.0,0.08428571428571428,22.28857142857143,9.0,2,42.40565206426046,Genoa
45,SAMARDZIC LAZAR,-0.013924050632911383,0.09857142857142856,26.54066907775768,14.0,-5,41.76577298704862,Udinese
86,BOHINEN EMIL,0.0012658227848101563,0.03666666666666667,19.262151898734178,2.0,8,41.67387104421003,Salernitana
61,GALDAMES PABLO,0.0,0.03666666666666667,21.546666666666667,-3.0,8,40.96697379337879,Genoa
34,AMRABAT SOFYAN,0.026582278481012613,0.06999999999999999,28.157341772151895,10.0,-5,40.89618877999788,Fiorentina
50,ILING JUNIOR SAMUEL,0.0,0.0,20.099999999999998,1.0,7,40.54315826902803,Juventus
92,MAZZITELLI LUCA,0.0,0.08428571428571428,21.135714285714286,8.0,2,39.94382125457059,Frosinone
23,BENNACER ISMAEL,0.1,0.08428571428571428,37.29,11.0,-15,39.47619913538736,Milan
65,AKPA AKPRO JEAN DANIEL,-0.024683544303797517,0.03666666666666667,19.342953586497885,-1.0,8,39.39034578267405,Empoli
77,POGBA PAUL,0.0,0.12666666666666668,25.173333333333332,19.0,-8,39.17938903202061,Juventus
17,CRISTANTE BRYAN,0.020253164556962053,0.06999999999999999,30.830000000000005,3.0,-5,39.14879603001816,Roma
95,MAKOUMBOU ANTOINE,0.0,0.1,21.6,6.0,2,39.0130839722276,Cagliari
42,TAMEZE ADRIEN,0.03607594936708859,0.06999999999999999,28.4253164556962,7.0,-5,38.88247131993787,Verona
69,THORSTVEDT KRISTIAN,0.0,0.0,18.3,11.0,2,38.25617050211163,Sassuolo
93,OBIANG PEDRO,0.005063291139240513,0.06999999999999999,20.25341772151899,7.0,2,37.87200052400767,Sassuolo
46,MARIN RAZVAN,-0.027215189873417773,0.06999999999999999,23.652151898734175,8.0,-2,37.41739206377921,Empoli
59,LOFTUS-CHEEK RUBEN,0.0,0.0,19.2,8.0,2,37.15351053941598,Milan
74,CAMARA MADY,0.0,0.03666666666666667,20.2,6.0,2,36.994999469754156,Roma
25,KRUNIC RADE,-0.018987341772151896,0.03666666666666667,24.461308016877638,2.0,0,36.8607047279215,Milan
38,DUNCAN ALFRED,0.03227848101265829,0.03666666666666667,25.826160337552746,9.0,-5,36.73581654741334,Fiorentina
98,BOLOCA DANIEL,0.0,0.1,20.0,6.0,2,36.706701683686525,Sassuolo
80,HELGASON THORIR J.,0.0,0.0,17.4,10.0,2,36.158830464807274,Lecce
44,BLIN ALEXIS,0.0,0.0,20.7,3.0,2,35.31574393492324,Lecce
63,MIRETTI FABIO,0.0,0.03666666666666667,21.21,1.0,2,34.45090328939571,Juventus
84,NDOMBELE TANGUY,0.0,0.03666666666666667,19.19,3.0,2,33.1390956501126,Napoli
76,ANTONIO MARCOS,0.0,0.03666666666666667,19.863333333333333,1.0,2,32.509698196540306,Lazio
73,MACHIN JOSE',0.0,0.03666666666666667,20.536666666666665,-1.0,2,31.880300742968,Monza
85,TERRACCIANO FILIPPO,0.0,0.03666666666666667,19.19,1.0,2,31.539095650112603,Verona
108,VRANKX ASTER,0.0,0.03666666666666667,15.823333333333334,7.0,2,31.48608291797409,Milan
68,GRASSI ALBERTO,0.039873417721519,0.03666666666666667,22.968945147679324,7.0,-5,31.017172479616725,Empoli
109,D'ALESSANDRO MARCO,0.0,0.06393939393939393,17.105151515151512,3.0,2,30.13380963777119,Monza
106,RANOCCHIA FILIPPO,0.0,0.03666666666666667,15.823333333333334,5.0,2,29.88608291797409,Empoli
78,MALEH YOUSSEF,-0.0,0.06999999999999999,21.83,7.0,-5,29.375395656974604,Lecce
101,VALOTI MATTIA,0.0,0.06393939393939393,17.46909090909091,1.0,2,29.058424245448816,Monza
79,MAGGIORE GIULIO,-0.04746835443037977,0.06999999999999999,19.029367088607593,11.0,-5,28.53831431726168,Salernitana
89,FAZZINI JACOPO,0.0,0.0,16.8,1.0,2,28.09393710660437,Empoli
28,DOS SANTOS EDERSON,-0.03354430379746839,0.06999999999999999,24.561265822784808,0.0,-5,27.71248510632988,Atalanta
99,LELLA NUNZIO,0.0,0.03666666666666667,16.496666666666666,0.0,2,26.85668546440179,Cagliari
47,POBEGA TOMMASO,-0.058227848101265786,0.08428571428571428,22.171934900542496,3.0,-5,26.668291031002894,Milan
111,KOURFALIDIS CHRISTOS,0.0,0.03666666666666667,15.823333333333334,0.0,2,25.88608291797409,Cagliari
110,SULEMANA IBRAHIM,0.0,0.03666666666666667,15.823333333333334,-1.0,2,25.08608291797409,Cagliari
53,CATALDI DANILO,0.05379746835443039,0.06999999999999999,27.546835443037974,10.0,-15,24.63153528006338,Lazio
102,SAMEK DANIEL,0.0,0.0,14.399999999999999,0.0,2,23.83436367379275,Lecce
112,GELLI FRANCESCO,0.0,0.03666666666666667,15.486666666666666,-2.0,2,23.80078164476023,Frosinone
43,FAGIOLI NICOLÒ,0.0,0.03666666666666667,23.23,3.0,-8,23.57809554406343,Juventus
