,Giocatore,Miglioramento Stagionale,Gol/Presenze,Base Moltiplicativa,Base Additiva,Live Updates,Punteggio Goduria,Squadra
98,ERLIC MARTIN,-0.04687499999999996,0.06999999999999999,19.387500000000003,14.0,-5,32.76744245858311,Sassuolo
6,GOSENS ROBIN,-0.13437500000000002,0.09857142857142856,21.66410714285714,10.0,-5,32.610689715410096,Inter
78,STOJANOVIC PETAR,-0.009375000000000007,0.06999999999999999,22.719375,8.0,-5,32.4111664869115,Empoli
41,TOLJAN JEREMY,-0.010937500000000041,0.03666666666666667,23.12677083333333,6.0,-5,31.26641553271716,Sassuolo
129,OKOLI CALEB,0.0,0.03666666666666667,17.843333333333334,1.0,2,29.979428081286965,Atalanta
28,DARMIAN MATTEO,-0.05546874999999992,0.06393939393939393,22.826827651515156,5.0,-5,29.959241341379354,Inter
106,KYRIAKOPOULOS GEORGIOS,0.0,0.03666666666666667,19.526666666666667,5.0,-2,29.759780512758166,Bologna
141,GABBIA MATTEO,-0.07109375,0.0,11.67421875,0.0,8,29.340061097830343,Milan
134,LOVATO MATTEO,-0.02031249999999991,0.06999999999999999,18.183750000000003,12.0,-5,29.27207339488765,Salernitana
142,SZYMINSKI PRZEMYSLAW,0.0,0.03666666666666667,17.17,1.0,2,28.997052994986117,Frosinone
130,DOIG JOSH,0.0,0.09857142857142856,21.124285714285715,12.0,-8,28.946850699441896,Verona
120,TRESSOLDI RUAN,0.0,0.0,16.5,1.0,2,28.019541151686752,Sassuolo
71,MAGNANI GIANGIACOMO,-0.036718749999999974,0.03666666666666667,19.19666666666667,0.0,0,28.007416445577274,Verona
115,BIRASCHI DAVIDE,-0.0,0.03666666666666667,18.85333333333333,-3.0,2,27.974729841173023,Genoa
116,RUGGERI MATTEO,0.04296874999999998,0.03666666666666667,21.25958333333333,0.0,-2,27.940232881200924,Atalanta
62,SCALVINI GIORGIO,-0.008593749999999954,0.0,19.524218750000003,8.0,-5,27.74952010546825,Atalanta
149,DI PARDO ALESSANDRO,0.0,0.03666666666666667,16.833333333333332,0.0,2,27.63630023444438,Cagliari
45,SANDRO ALEX,-0.11015625000000007,0.10333333333333333,20.522395833333327,6.0,-5,27.466702985115994,Juventus
157,BUTA LEONARDO,0.0,0.0,14.1,3.0,2,26.257136625397017,Udinese
117,DEMIRAL MERIH,-0.01015624999999992,0.06999999999999999,20.151250000000005,5.0,-5,26.055646054777625,Atalanta
96,KJAER SIMON,-0.060937499999999936,0.03666666666666667,16.543750000000006,11.0,-5,26.009792620763584,Milan
148,PONGRACIC MARIN,0.0,0.0,15.0,1.0,2,25.831081801016538,Lecce
143,OYONO ANTHONY,0.0,0.0,15.299999999999999,0.0,2,25.39920845375927,Frosinone
155,CABAL JUAN,0.0,0.0,14.399999999999999,1.0,2,24.95569806074845,Verona
90,PELLEGRINI LUCA,0.0,0.03666666666666667,20.536666666666665,3.0,-5,24.878828092042212,Lazio
160,FAZIO FEDERICO,-0.08046874999999994,0.06999999999999999,13.607968750000003,9.0,-2,24.602821515975723,Salernitana
152,KALAJ SERGIO,0.0,0.0,14.7,0.0,2,24.52382471349119,Frosinone
107,EHIZIBUE KINGLSLEY,0.0,0.06393939393939393,21.108484848484846,6.0,-8,23.706406360087,Udinese
153,ROMAGNOLI SIMONE,-0.0,0.06999999999999999,17.759999999999998,6.0,-5,23.436442323975484,Lecce
163,SOSA JOAQUIN,0.0,0.0,13.799999999999999,0.0,2,23.210749103089057,Bologna
166,GILA MARIO,0.0,0.0,12.9,0.0,2,21.89767349268693,Lazio
168,ANTOV VALENTIN,0.0,0.0,12.9,0.0,2,21.89767349268693,Monza
169,CARBONI FRANCO,0.0,0.0,12.9,-2.0,2,20.15854305790432,Monza
89,VASQUEZ JOHAN,-0.0,0.03666666666666667,20.536666666666665,-3.0,-5,19.661436787694385,Genoa
103,FLORENZI ALESSANDRO,-0.0546875,0.03666666666666667,16.354791666666667,3.0,-5,18.777585793986212,Milan
133,CACACE LIBERATO,-0.011718750000000024,0.03666666666666667,16.897291666666668,1.0,-5,17.829948157696,Empoli
101,PEZZELLA GIUSEPPE,-0.05234375000000006,0.03666666666666667,16.77505208333333,1.0,-5,17.651603918250746,Lecce
123,PAJAC MARKO,0.0,0.03666666666666667,18.18,0.0,-8,14.216435022430703,Genoa
172,MARTIN AARON,0.0,0.09857142857142856,0.0,12.0,2,13.511705685618729,Genoa
100,PALOMINO JOSE' LUIS,-0.021093749999999963,0.03666666666666667,18.618802083333335,10.0,-15,12.78305677535592,Atalanta
135,DRAGUSIN RADU,-0.4429687499999999,0.11,-1.714374999999996,14.0,2,12.749609454197843,Genoa
124,EBOSELE FESTY,0.0,0.0,16.2,1.0,-8,12.197233896937325,Udinese
131,LLORENTE DIEGO,0.0,0.03666666666666667,17.843333333333334,-2.0,-8,11.986117044497666,Roma
158,DE WINTER KONI,0.0,0.03666666666666667,15.823333333333334,1.0,-8,11.647687437769028,Empoli
162,EBOSSE ENZO,0.0,0.03666666666666667,15.486666666666666,1.0,-8,11.1564998946186,Udinese
159,BANI MATTIA,-0.38984375,0.1,0.4773437500000003,6.0,2,8.99074597671856,Genoa
165,DERMAKU KASTRIOT,-0.03906249999999999,0.03666666666666667,13.094583333333333,2.0,-8,8.536080353066096,Lecce
